Language,InventoryID,Source,SpecificDialect,Phoneme,Allophones,Marginal,SegmentClass,tone,stress,syllabic,short,long,consonantal,sonorant,continuant,delayedRelease,approximant,tap,trill,nasal,lateral,labial,round,labiodental,coronal,anterior,distributed,strident,dorsal,high,low,front,back,tense,retractedTongueRoot,advancedTongueRoot,periodicGlottalSource,epilaryngealSource,spreadGlottis,constrictedGlottis,fortis,lenis,raisedLarynxEjective,loweredLarynxImplosive,click
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),qʼ,qʼ χʼ qʼχ ʔ,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,-,0,0,0,+,-,-,-,+,0,-,-,-,-,-,+,-,-,+,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),s,s,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),ts,ts,False,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),tsʼ,tsʼ,False,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,+,-,+,-,0,0,0,0,0,-,-,-,-,-,+,-,-,+,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),t̠ʃ,t̠ʃ,False,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,-,-,-,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),t̠ʃʼ,t̠ʃʼ,False,consonant,0,-,-,-,-,+,-,-,+,-,-,-,-,-,-,0,0,+,-,+,+,-,0,0,0,0,0,-,-,-,-,-,+,-,-,+,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),t̪ʰ,t̪ʰ,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,-,-,-,-,+,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),t̪ʼ,t̪ʼ,False,consonant,0,-,-,-,-,+,-,-,-,-,-,-,-,-,-,0,0,+,+,+,-,-,0,0,0,0,0,-,-,-,-,-,+,-,-,+,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),v,v f ɸ v̥ v̩,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,+,-,+,-,0,0,0,-,0,0,0,0,0,-,-,+,-,-,-,-,-,-,-,-
Georgian,2183,ph,Standard (or literary) georgian (Kartluri dialect),x,x,False,consonant,0,-,-,-,-,+,-,+,+,-,-,-,-,-,-,0,0,-,0,0,0,+,+,-,-,-,0,-,-,-,-,-,-,-,-,-,-,-
